,Aciklamalar,tarih_baslangic,tarih_bitis,il,haftalik_vaka_sayisi
,,08.02.2021,14.02.2021,Van,15
,,08.02.2021,14.02.2021,Yalova,75
,,08.02.2021,14.02.2021,Yozgat,41
,,08.02.2021,14.02.2021,Zonguldak,55
,,15.02.2021,21.02.2021,Adana,43
,,15.02.2021,21.02.2021,Adıyaman,121
,,15.02.2021,21.02.2021,Afyon,32
,,15.02.2021,21.02.2021,Ağrı,20
,,15.02.2021,21.02.2021,Aksaray,108
,,15.02.2021,21.02.2021,Amasya,90
,,15.02.2021,21.02.2021,Ankara,35
,,15.02.2021,21.02.2021,Antalya,79
,,15.02.2021,21.02.2021,Ardahan,88
,,15.02.2021,21.02.2021,Artvin,76
,,15.02.2021,21.02.2021,Aydın,38
,,15.02.2021,21.02.2021,Balıkesir,92
,,15.02.2021,21.02.2021,Bartın,31
,,15.02.2021,21.02.2021,Batman,9
,,15.02.2021,21.02.2021,Bayburt,22
,,15.02.2021,21.02.2021,Bilecik,46
,,15.02.2021,21.02.2021,Bingöl,18
,,15.02.2021,21.02.2021,Bitlis,15
,,15.02.2021,21.02.2021,Bolu,76
,,15.02.2021,21.02.2021,Burdur,93
,,15.02.2021,21.02.2021,Bursa,39
,,15.02.2021,21.02.2021,Çanakkale,44
,,15.02.2021,21.02.2021,Çankırı,27
,,15.02.2021,21.02.2021,Çorum,41
,,15.02.2021,21.02.2021,Denizli,32
,,15.02.2021,21.02.2021,Diyarbakır,18
,,15.02.2021,21.02.2021,Düzce,49
,,15.02.2021,21.02.2021,Edirne,75
,,15.02.2021,21.02.2021,Elazığ,44
,,15.02.2021,21.02.2021,Erzincan,34
,,15.02.2021,21.02.2021,Erzurum,51
,,15.02.2021,21.02.2021,Eskişehir,36
,,15.02.2021,21.02.2021,Gaziantep,35
,,15.02.2021,21.02.2021,Giresun,218
,,15.02.2021,21.02.2021,Gümüşhane,88
,,15.02.2021,21.02.2021,Hakkari,3
,,15.02.2021,21.02.2021,Hatay,46
,,15.02.2021,21.02.2021,Iğdır,10
,,15.02.2021,21.02.2021,Isparta,30
,,15.02.2021,21.02.2021,Istanbul,68
,,15.02.2021,21.02.2021,Izmir,43
,,15.02.2021,21.02.2021,Kahramanmaraş,35
,,15.02.2021,21.02.2021,Karabük,17
,,15.02.2021,21.02.2021,Karaman,106
,,15.02.2021,21.02.2021,Kars,19
,,15.02.2021,21.02.2021,Kastamonu,22
,,15.02.2021,21.02.2021,Kayseri,74
,,15.02.2021,21.02.2021,Kırıkkale,47
,,15.02.2021,21.02.2021,Kırklareli,71
,,15.02.2021,21.02.2021,Kırşehir,31
,,15.02.2021,21.02.2021,Kilis,48
,,15.02.2021,21.02.2021,Kocaeli,93
,,15.02.2021,21.02.2021,Konya,102
,,15.02.2021,21.02.2021,Kütahya,58
,,15.02.2021,21.02.2021,Malatya,44
,,15.02.2021,21.02.2021,Manisa,37
,,15.02.2021,21.02.2021,Mardin,13
,,15.02.2021,21.02.2021,Içel,88
,,15.02.2021,21.02.2021,Muğla,50
,,15.02.2021,21.02.2021,Muş,9
,,15.02.2021,21.02.2021,Nevşehir,51
,,15.02.2021,21.02.2021,Niğde,57
,,15.02.2021,21.02.2021,Ordu,228
,,15.02.2021,21.02.2021,Osmaniye,135
,,15.02.2021,21.02.2021,Rize,200
,,15.02.2021,21.02.2021,Sakarya,103
,,15.02.2021,21.02.2021,Samsun,203
,,15.02.2021,21.02.2021,Siirt,21
,,15.02.2021,21.02.2021,Sinop,84
,,15.02.2021,21.02.2021,Sivas,38
,,15.02.2021,21.02.2021,Şanlıurfa,20
